State,Keyword,Target match type,Status,Suggested bid (low)(USD),Suggested bid (median)(USD),Suggested bid (high)(USD),Bid (USD),Impressions,Top-of-search impression share,Clicks,CTR,Total cost (USD),CPC (USD),Purchases,Sales (USD),ACOS,KENP read,Estimated KENP royalties (USD)
ENABLED,illuminati fiction,Broad,CAMPAIGN_OUT_OF_BUDGET,1.07,1.42,1.78,1.42,0,0,0,0,0,0,0,0,0,0,0
ENABLED,intellectual thriller,Broad,CAMPAIGN_OUT_OF_BUDGET,0.91,1.21,1.51,0.42,1,0,0,0,0,0,0,0,0,0,0
PAUSED,kate mosse,Broad,CAMPAIGN_OUT_OF_BUDGET,0.32,0.37,0.46,0.41,29,0,0,0,0,0,0,0,0,0,0
PAUSED,kate mosse,Exact,CAMPAIGN_OUT_OF_BUDGET,0.35,0.46,0.58,1.25,0,0,0,0,0,0,0,0,0,0,0
PAUSED,ken follett,Broad,CAMPAIGN_OUT_OF_BUDGET,0.91,1.21,1.51,0.87,539,0,0,0,0,0,0,0,0,0,0
PAUSED,ken follett,Exact,CAMPAIGN_OUT_OF_BUDGET,1.79,2.38,2.97,1.5,0,0,0,0,0,0,0,0,0,0,0
PAUSED,labyrinth kate mosse,Broad,CAMPAIGN_OUT_OF_BUDGET,0.41,0.6,0.68,0.39,0,0,0,0,0,0,0,0,0,0,0
ENABLED,manuscript mystery,Broad,CAMPAIGN_OUT_OF_BUDGET,0.52,0.69,0.86,0.71,2,0,0,0,0,0,0,0,0,0,0
PAUSED,matthew pearl,Broad,CAMPAIGN_OUT_OF_BUDGET,0.49,0.65,0.81,0.39,182,0,0,0,0,0,0,0,0,0,0
PAUSED,medieval fiction,Broad,CAMPAIGN_OUT_OF_BUDGET,0.52,0.75,0.94,0.76,644,5.32%,5,0.0078,3.25,0.65,1,0.99,3.2828,158,0.73
PAUSED,medieval fiction books,Broad,CAMPAIGN_OUT_OF_BUDGET,0.94,1.25,1.45,0.8,1856,17.70%,3,0.0016,1.88,0.63,0,0,0,0,0
ENABLED,medieval historical thriller,Broad,CAMPAIGN_OUT_OF_BUDGET,0.43,0.49,0.61,0.49,0,0,0,0,0,0,0,0,0,0,0
ENABLED,medieval monastery mystery,Broad,CAMPAIGN_OUT_OF_BUDGET,,,,0.75,0,0,0,0,0,0,0,0,0,0,0
